regime,n,metric,paired_draws,mean_improvement_percent,median_improvement_percent,improvement_q25,improvement_q75,median_ci025,median_ci975,rfd_win_percent
V-L,2048,factor scores,32,-27.12539245507826,-25.40475267359176,-38.4901332884675,-9.491080840644317,-32.281568377949284,-13.33028483753103,9.375
V-L,2048,observation reconstruction,32,17.325881780860882,19.730578588584635,11.900455638531463,22.08108072149115,16.920491510674907,21.165973471358853,100.0
V-L,2048,latent-signal reconstruction,32,24.078001591701256,27.306100141933385,17.09135064154738,31.2578572009563,22.808719832041103,30.327762722434173,96.875
V-L,8192,loading projector,32,90.04649299356734,92.35678658470596,86.04122002632215,93.92677436540939,89.8598674291344,93.36373691674385,100.0
V-L,8192,factor scores,32,8.62444573973467,9.726916335439011,3.7362014787582405,16.85735411231432,6.3774225717400315,15.545836226756187,78.125
V-L,8192,observation reconstruction,32,19.922933197672897,21.766485728248433,16.145631763204204,24.70016422675823,17.562843611560762,23.805894147897554,100.0
V-L,8192,latent-signal reconstruction,32,29.296539356969227,31.027651799897257,23.892753732428748,37.34321439465262,25.84836603062664,34.963683945775685,100.0
V-R,512,loading projector,32,63.34724163844605,68.66297558256085,54.12921310601731,81.56298266921632,59.46678339165276,77.63609309054729,93.75
V-R,512,factor scores,32,-98.34567874176697,-86.21480331453492,-135.65745943404562,-63.29388722371911,-118.37282532784762,-74.53656847141261,0.0
V-R,512,observation reconstruction,32,19.358335497799462,18.549255789470358,13.973589629999152,25.366965923694316,16.444800262638694,23.159893834567505,100.0
V-R,512,latent-signal reconstruction,32,26.447947478242337,25.736347708520125,19.65612843600379,33.891219397158345,23.92396538494481,31.201453711484756,100.0
V-R,2048,loading projector,32,85.76474715040828,88.90908360738277,84.54356668482359,91.19900094506457,86.91160925385805,90.19047057707083,100.0
V-R,2048,factor scores,32,-23.04581581418405,-19.679298454249,-37.64306472690946,-6.292552785622913,-28.061532884797373,-11.468820111404908,15.625
V-R,2048,observation reconstruction,32,19.479105218178837,21.931874413198713,13.755521493996344,23.885191532932186,19.068780320880283,23.574598334804843,100.0
V-R,2048,latent-signal reconstruction,32,29.132033004473485,32.67374421682664,23.372067117524338,36.16225406378494,28.072196623275627,35.28301399470474,100.0
V-R,8192,loading projector,32,94.85444357635984,95.85393409312795,93.75957004251791,97.46976802859419,94.73669978853822,97.03275286048745,100.0
V-R,8192,factor scores,32,11.13754935994088,13.053110838716787,6.024335997985001,18.974796850748007,9.08991701277475,17.49446698475977,84.375
V-R,8192,observation reconstruction,32,21.10347599223719,22.40783016993771,17.161529563995558,26.056832452753774,18.475295748842726,25.038156130922584,100.0
V-R,8192,latent-signal reconstruction,32,31.673339140971336,33.318815482214006,25.569990461366668,40.25521185161553,26.63934254208875,38.10070650673531,100.0
